,match_link,json_links
66,https://www.ncaa.com/game/3960171,https://data.ncaa.com/casablanca/game/3960171/boxscore.json
67,https://www.ncaa.com/game/3960176,https://data.ncaa.com/casablanca/game/3960176/boxscore.json
68,https://www.ncaa.com/game/3960769,https://data.ncaa.com/casablanca/game/3960769/boxscore.json
69,https://www.ncaa.com/game/3962112,https://data.ncaa.com/casablanca/game/3962112/boxscore.json
70,https://www.ncaa.com/game/3968621,https://data.ncaa.com/casablanca/game/3968621/boxscore.json
71,https://www.ncaa.com/game/3960782,https://data.ncaa.com/casablanca/game/3960782/boxscore.json
72,https://www.ncaa.com/game/3960790,https://data.ncaa.com/casablanca/game/3960790/boxscore.json
73,https://www.ncaa.com/game/3960223,https://data.ncaa.com/casablanca/game/3960223/boxscore.json
74,https://www.ncaa.com/game/3960227,https://data.ncaa.com/casablanca/game/3960227/boxscore.json
75,https://www.ncaa.com/game/3960793,https://data.ncaa.com/casablanca/game/3960793/boxscore.json
76,https://www.ncaa.com/game/3960819,https://data.ncaa.com/casablanca/game/3960819/boxscore.json
77,https://www.ncaa.com/game/3960862,https://data.ncaa.com/casablanca/game/3960862/boxscore.json
78,https://www.ncaa.com/game/3960868,https://data.ncaa.com/casablanca/game/3960868/boxscore.json
79,https://www.ncaa.com/game/3966741,https://data.ncaa.com/casablanca/game/3966741/boxscore.json
80,https://www.ncaa.com/game/3960873,https://data.ncaa.com/casablanca/game/3960873/boxscore.json
81,https://www.ncaa.com/game/3960881,https://data.ncaa.com/casablanca/game/3960881/boxscore.json
82,https://www.ncaa.com/game/3998161,https://data.ncaa.com/casablanca/game/3998161/boxscore.json
83,https://www.ncaa.com/game/3960967,https://data.ncaa.com/casablanca/game/3960967/boxscore.json
84,https://www.ncaa.com/game/3960970,https://data.ncaa.com/casablanca/game/3960970/boxscore.json
85,https://www.ncaa.com/game/3960981,https://data.ncaa.com/casablanca/game/3960981/boxscore.json
86,https://www.ncaa.com/game/3962662,https://data.ncaa.com/casablanca/game/3962662/boxscore.json
87,https://www.ncaa.com/game/3960997,https://data.ncaa.com/casablanca/game/3960997/boxscore.json
